Libelle_Departement,Libelle_Commune,Nombre_Etablissements,Population_Totale,Ratio_100k
AIN,01500 AMBERIEU EN BUGEY,39,15930,244.82
AIN,01330 AMBERIEUX EN DOMBES,2,1941,103.04
AIN,01500 AMBRONAY,4,2946,135.78
AIN,01500 AMBUTRIX,1,781,128.04
AIN,01100 ARBENT,2,3562,56.15
AIN,01480 ARS SUR FORMANS,1,1541,64.89
AIN,01510 ARTEMARE,4,1156,346.02
AIN,01260 ARVIERE EN VALROMEY,3,731,410.4
AIN,01340 ATTIGNAT,2,3440,58.14
AIN,01380 BAGE DOMMARTIN,4,4158,96.2
AIN,01380 BAGE LE CHATEL,1,1053,94.97
AIN,01270 BEAUPONT,1,729,137.17
AIN,01360 BELIGNEUX,3,3526,85.08
AIN,01204 BELLEGARDE SUR VALSERINE C,1,0,0.0
AIN,01300 BELLEY,29,9584,302.59
AIN,01100 BELLIGNAT,4,3830,104.44
AIN,01700 BEYNOST,8,5051,158.38
AIN,01150 BLYES,1,1387,72.1
AIN,01000 BOURG EN BRESSE,136,43696,311.24
AIN,01300 BREGNIER CORDON,1,831,120.34
AIN,01110 BRENOD,1,558,179.21
AIN,01310 BUELLAS,1,1950,51.28
AIN,01450 CERDON,1,771,129.7
AIN,01170 CESSY,1,5679,17.61
AIN,01250 CEYZERIAT,6,3389,177.04
AIN,01320 CHALAMONT,3,2582,116.19
AIN,01480 CHALEINS,2,1469,136.15
AIN,01630 CHALLEX,1,1664,60.1
AIN,01260 CHAMPAGNE EN VALROMEY,4,857,466.74
AIN,01410 CHAMPFROMIER,1,731,136.8
AIN,01420 CHANAY,1,608,164.47
AIN,01500 CHATEAU GAILLARD,2,2458,81.37
AIN,01320 CHATILLON LA PALUD,1,1737,57.57
AIN,01400 CHATILLON SUR CHALARONNE,12,5357,224.01
AIN,01150 CHAZEY SUR AIN,1,1673,59.77
AIN,01390 CIVRIEUX,2,2040,98.04
AIN,01270 COLIGNY,4,1309,305.58
AIN,01550 COLLONGES,2,2306,86.73
AIN,01200 CONFORT,1,687,145.56
AIN,01420 CORBONOD,3,1330,225.56
AIN,01250 CORVEISSIAT,1,598,167.22
AIN,01350 CULOZ,2,3485,57.39
AIN,01310 CURTAFOND,1,823,121.51
AIN,01120 DAGNEUX,5,4795,104.28
AIN,01220 DIVONNE LES BAINS,5,10520,47.53
AIN,01590 DORTAN,1,2053,48.71
AIN,01480 FAREINS,2,2583,77.43
AIN,01570 FEILLENS,5,3457,144.63
AIN,01210 FERNEY VOLTAIRE,17,11666,145.72
AIN,01170 GEX,19,13742,138.26
AIN,01290 GRIEGES,2,1952,102.46
AIN,01100 GROISSIAT,1,1265,79.05
AIN,01580 IZERNORE,3,2317,129.48
AIN,01480 JASSANS RIOTTIER,5,6409,78.02
AIN,01250 JASSERON,1,1941,51.52
AIN,01640 JUJURIEUX,3,2246,133.57
AIN,01120 LA BOISSE,1,3481,28.73
AIN,01150 LAGNIEU,7,7442,94.06
AIN,01240 LENT,1,1493,66.98
AIN,01680 LHUIS,2,912,219.3
AIN,01360 LOYETTES,1,3505,28.53
AIN,01570 MANZIAT,2,2027,98.67
AIN,01851 MARBOZ,6,2306,260.19
AIN,01240 MARLIEUX,1,1270,78.74
AIN,01600 MASSIEUX,2,2794,71.58
AIN,01370 MEILLONNAS,1,1418,70.52
AIN,01800 MEXIMIEUX,13,8341,155.86
AIN,01660 MEZERIAT,3,2216,135.38
AIN,01410 MIJOUX,1,310,322.58
AIN,01390 MIONNAY,1,2365,42.28
AIN,01700 MIRIBEL,17,10606,160.29
